,X1,X2,X3,X4,X5,y
X1,1.0,0.64,0.58,0.67,0.64,0.67
X2,0.64,1.0,0.69,0.68,0.55,0.71
X3,0.58,0.69,1.0,0.64,0.6,0.58
X4,0.67,0.68,0.64,1.0,0.49,0.66
X5,0.64,0.55,0.6,0.49,1.0,0.63
y,0.67,0.71,0.58,0.66,0.63,1.0
