,X1,X2,X3,X4,X5,y
X1,1.0,0.6,0.5,0.57,0.62,0.59
X2,0.6,1.0,0.58,0.63,0.58,0.65
X3,0.5,0.58,1.0,0.53,0.53,0.59
X4,0.57,0.63,0.53,1.0,0.63,0.52
X5,0.62,0.58,0.53,0.63,1.0,0.49
y,0.59,0.65,0.59,0.52,0.49,1.0
