,X1,X2,X3,X4,X5,y
X1,1.0,0.62,0.6,0.62,0.62,0.65
X2,0.62,1.0,0.59,0.6,0.59,0.62
X3,0.6,0.59,1.0,0.57,0.57,0.66
X4,0.62,0.6,0.57,1.0,0.61,0.64
X5,0.62,0.59,0.57,0.61,1.0,0.63
y,0.65,0.62,0.66,0.64,0.63,1.0
